Item Identifier;Activity sector;Description
SSO;Service;Saint-Ouen Service: GSI TLS
ST6;Study;Sorel Tracy - Canada
STO;Study;Central Projects St Ouen 
STR;Service;Tarbes Service : GSI TLS
SUS;Service;Service US
SVB;Service;Villeurbanne Service : GSI TLS
SVP;Service;Valenciennes Service: GSI TLS
SVS;Service;Services Savigliano - DMA interface only
SZL;Study;Warrensburg Signalling Industrial
TBU;Study;Bucarest
TDL;Infra;Alstom System and Infra – India - Tundla
THA;Infra;Alstom Transport - Thailand - System and Infra (TGS)
TIE;Study;TIS - EX TOUR BP A LA DEFENSE
TLS;Not TIS Unit;Site générique représentant toutes les unités à part les unités TIS
TOR;Study;Toronto – Canada (Rolling Stock)
TRA;Study;ALSTOM TRANSPORT AYTRE
TRK;Study;Tarbes
TRL;Study;ALSTOM TRANSPORT PRESTON
TRN;Study;Neptune
TRO;Study;ALSTOM TRANSPORT ORNANS
TRT;Study;ALSTOM TRANSPORT TARBES
TSI;Study;ALSTOM Projects India Limited (Organisation TIS)
TSL;Study;ALSTOM TRANSPORT CHINA
TUI;Study;Alstom Turkey  (Signalling Business)
TUR;Infra;Alstom - Turkey - System and Infra
TUS;Study;ALSTOM TRANSPORT HORNELL and ROCHESTER (Rolling Stock)
TWI;Study;Alstom Transport Taiwan (TIS Organisation)
TWN;Infra;Alstom-Region APAC-Taiwan- System and Infra
UKI;Study;United Kingdom Signalling (Signalling Business)
UKR;Service;UK – Regional and Intercity
UPA;Study;ALSTOM TRANSPORT BIRMINGHAM
USP;Study;USA Passenger
USV;Service;Ubunye Services - South Africa
VB1;Study;Temporary EES site for GSI
VB2;Study;Temporary EES site for GSI
VB3;Study;Temporary EES site for GSI
VEC;Study;ALSTOM TRANSPORT CARACAS
VER;Study;ALSTOM TRANSPORT VERONE (Organisation TIS)
VIT;Infra;Alstom - Vitrolles TGS
VOF;Study;Central Projects Offers Valencienes
WDN;Service;Widnes Manufacturing
WGC;Study;WGC for Welwyn Garden City in UK (Signalling)
WOV;Service;Wolverhampton (Oxley) Traincare Centre
WRZ;Study;Alstom Konstal SA in Warszawa (Pendolino Depot)
YYY;Study;---
ZDS;Study;Alstom Ubunye – South Africa
ZZZ;Study;---
